year,id,display_name,works_count,category,related_concepts
2015,https://openalex.org/T10181,Natural Language Processing Techniques,17070,Natural Language Processing,"[{""id"": ""https://openalex.org/T13674"", ""display_name"": ""Computer Science and Engineering"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12380"", ""display_name"": ""Authorship Attribution and Profiling"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10951"", ""display_name"": ""Cryptographic Implementations and Security"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10378,Advanced MRI Techniques and Applications,12933,AI in Healthcare,"[{""id"": ""https://openalex.org/T11304"", ""display_name"": ""Advanced Neuroimaging Techniques and Applications"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11828"", ""display_name"": ""Corneal Surgery and Treatments"", ""category"": ""AI in Healthcare""}, {""id"": ""https://openalex.org/T12055"", ""display_name"": ""Boron Compounds in Chemistry"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10581,Neural dynamics and brain function,12314,AI in Healthcare,"[{""id"": ""https://openalex.org/T13397"", ""display_name"": ""Hallucinations in medical conditions"", ""category"": ""AI in Healthcare""}, {""id"": ""https://openalex.org/T10788"", ""display_name"": ""Neuroscience and Music Perception"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10241"", ""display_name"": ""Functional Brain Connectivity Studies"", ""category"": ""AI in Healthcare""}]"
2015,https://openalex.org/T13559,Edcuational Technology Systems,12147,Natural Language Processing,"[{""id"": ""https://openalex.org/T13674"", ""display_name"": ""Computer Science and Engineering"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12380"", ""display_name"": ""Authorship Attribution and Profiling"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10951"", ""display_name"": ""Cryptographic Implementations and Security"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10429,EEG and Brain-Computer Interfaces,12037,AI in Healthcare,"[{""id"": ""https://openalex.org/T13397"", ""display_name"": ""Hallucinations in medical conditions"", ""category"": ""AI in Healthcare""}, {""id"": ""https://openalex.org/T10788"", ""display_name"": ""Neuroscience and Music Perception"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10241"", ""display_name"": ""Functional Brain Connectivity Studies"", ""category"": ""AI in Healthcare""}]"
2015,https://openalex.org/T10320,Neural Networks and Applications,11892,Machine Learning,"[{""id"": ""https://openalex.org/T13674"", ""display_name"": ""Computer Science and Engineering"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12380"", ""display_name"": ""Authorship Attribution and Profiling"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10951"", ""display_name"": ""Cryptographic Implementations and Security"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10627,Advanced Image and Video Retrieval Techniques,11871,Computer Vision,"[{""id"": ""https://openalex.org/T10888"", ""display_name"": ""Augmented Reality Applications"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11019"", ""display_name"": ""Image Enhancement Techniques"", ""category"": ""Computer Vision""}, {""id"": ""https://openalex.org/T13579"", ""display_name"": ""Image and Video Stabilization"", ""category"": ""Computer Vision""}]"
2015,https://openalex.org/T10876,Fault Detection and Control Systems,11849,AI in Healthcare,"[{""id"": ""https://openalex.org/T14011"", ""display_name"": ""Elevator Systems and Control"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10972"", ""display_name"": ""Power Systems Fault Detection"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11053"", ""display_name"": ""Process Optimization and Integration"", ""category"": ""Optimization & Theory""}]"
2015,https://openalex.org/T10223,Microgrid Control and Optimization,11730,Optimization & Theory,"[{""id"": ""https://openalex.org/T14011"", ""display_name"": ""Elevator Systems and Control"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10972"", ""display_name"": ""Power Systems Fault Detection"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11053"", ""display_name"": ""Process Optimization and Integration"", ""category"": ""Optimization & Theory""}]"
2015,https://openalex.org/T12422,Radiomics and Machine Learning in Medical Imaging,11281,AI in Healthcare,"[{""id"": ""https://openalex.org/T11304"", ""display_name"": ""Advanced Neuroimaging Techniques and Applications"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11828"", ""display_name"": ""Corneal Surgery and Treatments"", ""category"": ""AI in Healthcare""}, {""id"": ""https://openalex.org/T12055"", ""display_name"": ""Boron Compounds in Chemistry"", ""category"": ""Machine Learning""}]"
